S3-1,S2-Relatively High,S1-High ,S1-Medium High ,S3-2,S1-Low ,S3-3,S1-Medium Low ,S2-Relatively Low
2,23,3,11,11,3,8,17,45
4,34,3,17,15,3,5,15,34
21,60,12,9,2,0,1,2,8
16,41,14,5,3,4,6,1,21
9,54,3,24,8,0,4,6,14
7,47,3,12,13,3,5,13,19
8,27,3,11,9,0,6,13,35
4,37,2,14,13,3,5,8,26
5,48,5,15,16,2,6,8,19
3,17,4,13,12,3,8,15,46
1,19,1,6,12,9,10,16,48
2,27,3,7,13,5,7,16,42
2,25,2,13,12,7,10,12,41
5,13,0,10,9,5,10,18,51
22,59,19,11,0,2,1,4,8
0,20,3,11,18,3,7,10,43
3,36,9,17,11,0,4,6,27
3,21,3,10,13,3,6,13,52
4,22,1,18,12,1,5,8,46
6,40,3,12,14,1,4,7,31
4,24,3,10,7,2,12,20,44
12,62,11,8,11,1,1,6,7
2,22,3,11,13,0,4,12,45
5,24,1,12,6,1,10,11,44
18,60,23,6,5,1,2,0,3
4,26,3,9,17,4,4,15,35
20,68,18,4,3,0,0,1,3
20,64,17,7,4,0,0,1,0
19,60,24,3,2,0,2,0,3
15,72,21,6,4,0,3,0,2
4,12,0,14,14,1,9,12,56
1,25,3,12,12,0,8,13,42
4,20,3,10,15,0,4,14,42
4,20,4,14,16,1,3,11,44
3,33,2,15,14,1,5,5,37
1,3,1,5,9,4,10,18,64
5,35,6,20,15,0,2,7,29
20,59,13,7,2,2,2,4,7
4,17,3,13,11,1,9,10,51
10,56,8,15,16,0,0,2,12
14,66,11,10,6,0,1,1,2
16,62,15,7,4,0,0,0,5
14,61,14,13,6,0,1,1,12
3,3,0,7,6,3,11,18,61
4,41,4,15,11,0,8,8,29
