s1-High ,s1-Medium High ,s1-Medium Low ,s1-Low ,S3-1,S3-2,S3-3,s2-Relatively High,s2-Relatively Low
3,11,17,3,2,11,8,23,45
3,17,15,3,4,15,5,34,34
12,9,2,0,21,2,1,60,8
14,5,1,4,16,3,6,41,21
3,24,6,0,9,8,4,54,14
3,12,13,3,7,13,5,47,19
3,11,13,0,8,9,6,27,35
2,14,8,3,4,13,5,37,26
5,15,8,2,5,16,6,48,19
4,13,15,3,3,12,8,17,46
1,6,16,9,1,12,10,19,48
3,7,16,5,2,13,7,27,42
2,13,12,7,2,12,10,25,41
0,10,18,5,5,9,10,13,51
19,11,4,2,22,0,1,59,8
3,11,10,3,0,18,7,20,43
9,17,6,0,3,11,4,36,27
3,10,13,3,3,13,6,21,52
1,18,8,1,4,12,5,22,46
3,12,7,1,6,14,4,40,31
3,10,20,2,4,7,12,24,44
11,8,6,1,12,11,1,62,7
3,11,12,0,2,13,4,22,45
1,12,11,1,5,6,10,24,44
23,6,0,1,18,5,2,60,3
3,9,15,4,4,17,4,26,35
18,4,1,0,20,3,0,68,3
17,7,1,0,20,4,0,64,0
24,3,0,0,19,2,2,60,3
21,6,0,0,15,4,3,72,2
0,14,12,1,4,14,9,12,56
3,12,13,0,1,12,8,25,42
3,10,14,0,4,15,4,20,42
4,14,11,1,4,16,3,20,44
2,15,5,1,3,14,5,33,37
1,5,18,4,1,9,10,3,64
6,20,7,0,5,15,2,35,29
13,7,4,2,20,2,2,59,7
3,13,10,1,4,11,9,17,51
8,15,2,0,10,16,0,56,12
11,10,1,0,14,6,1,66,2
15,7,0,0,16,4,0,62,5
14,13,1,0,14,6,1,61,12
0,7,18,3,3,6,11,3,61
4,15,8,0,4,11,8,41,29
